eXoID	Setup
DOS01182	BRCONFIG.EXE
DOS01183	No setup found
DOS01184	No setup found
DOS01185	No setup found
DOS01186	No setup found
DOS01187	No setup found
DOS01188	No setup found
DOS01189	No setup found
DOS01190	INSTALL.EXE
DOS01191	No setup found
DOS01192	SETUP.EXE
DOS01193	No setup found
DOS01194	Options during startup
DOS01195	No setup found
DOS01196	SETSOUND.EXE
DOS01197	joy.bat
DOS01198	Options during startup
DOS01199	No setup found
DOS01200	Options during startup
DOS01201	No setup found
DOS01202	No setup found
DOS01203	No setup found
DOS01204	No setup found
DOS01205	No setup found
DOS01206	Options during startup
DOS01209	No setup found
DOS01211	Options during startup
DOS01212	SETUP.EXE
DOS01213	Options during startup
DOS01214	No setup found
DOS01215	SETSOUND.BAT
DOS01216	No setup found
DOS01217	No setup found
DOS01218	No setup found
DOS01219	No setup found
DOS01220	No setup found
DOS01221	No setup found
DOS01222	BAM2CFG.BAT
DOS01223	No setup found
DOS01224	SETUP.EXE
DOS01225	No setup found
DOS01226	No setup found
DOS01227	SETUP.COM
DOS01228	SETUP.EXE
DOS01229	No setup found
DOS01230	INSTALL.EXE
DOS01231	SETSOUND.EXE
DOS01232	No setup found
DOS01233	Options during startup
DOS01235	Optional executeables
DOS01236	Options during startup
DOS01237	No setup found
DOS01238	INSTALL.EXE
DOS01239	No setup found
DOS01240	No setup found
DOS01241	No setup found
DOS01242	No setup found
DOS01244	D:\INSTALL.EXE
DOS01245	INSTALL.EXE
DOS01246	SETSOUND.BAT
DOS01247	SETSOUND.BAT
DOS01248	Options during startup
DOS01250	SETSOUND.BAT
DOS01251	No setup found
DOS01252	Options during startup
DOS01253	Options during startup
DOS01255	INSTALL.EXE
DOS01256	No setup found
DOS01258	Options during startup
DOS01259	No setup found
DOS01260	No setup found
DOS01261	No setup found
DOS01262	INSTALL.BAT
DOS01263	Options during startup
DOS01264	No setup found
DOS01265	No setup found
DOS01266	SETUP.EXE
DOS01267	Options during startup
DOS01268	No setup found
DOS01269	No setup found
DOS01271	No setup found
DOS01272	JOGAR.BAT
DOS01273	No setup found
DOS01274	No setup found
DOS01275	Options during startup
DOS01276	No setup found
DOS01277	No setup found
DOS01278	No setup found
DOS01279	Options during startup
DOS01280	Options during startup
DOS01281	INSTALL.EXE
DOS01282	No setup found
DOS01283	No setup found
DOS01284	SETUP.EXE
DOS01285	No setup found
DOS01286	SETUP.EXE
DOS01287	MNU.EXE
DOS01288	No setup found
DOS01289	Options during startup
DOS01290	Options during startup
DOS01291	No setup found
DOS01292	No setup found
DOS01293	No setup found
DOS01294	No setup found
DOS01295	No setup found
DOS01297	No setup found
DOS01298	Options during startup
DOS01299	No setup found
DOS01300	No setup found
DOS01301	Options during startup
DOS01302	No setup found
DOS01303	No setup found
DOS01304	SETUP.EXE
DOS01307	No setup found
