eXoID	Game	Folder	sdl__fulldouble	sdl__fullfixed	sdl__output	sdl__autolock	sdl__sensitivity	sdl__mapperfile	sdl__usescancodes	sdl__overscan	sdl__titlebar	sdl__showmenu	dosbox__machine	dosbox__vmemsize	dosbox__memsize	render__char9	render__doublescan	render__autofit	vsync__vsyncmode	cpu__core	cpu__cputype	cpu__cycles	cpu__cycleup	cpu__cycledown	keyboard__aux	pci__voodoo	pci__voodoomem	mixer__rate	mixer__blocksize	mixer__prebuffer	midi__mpu401	midi__mididevice	midi__fluid_dot_soundfont	midi__fluid_dot_gain	midi__mt32_dot_romdir	midi__mt32_dot_output_dot_gain	sblaster__sbtype	sblaster__sbbase	sblaster__goldplay	sblaster__irq	sblaster__dma	sblaster__hdma	sblaster__sbmixer	sblaster__oplmode	sblaster__oplemu	sblaster__oplrate	gus__gus	gus__gusrate	gus__gusdma	gus__ultradir	innova__innova	speaker__ps1audio	speaker__ps1audiorate	speaker__pcspeaker	speaker__pcrate	speaker__wizpopfix	speaker__tandy	speaker__tandyrate	speaker__disney	joystick__joysticktype	joystick__timed	joystick__buttonwrap	dos__xms	dos__ems	dos__umb	dos__keyboardlayout	ipx__ipx	ne2000__ne2000	ne2000__macaddr	log__logfile
DOS00716	Advanced Civilization	advcivi			openglnb			mapper.map					svga_s3		64													49716					.\mt32\SoundCanvas.sf2		.\mt32									opl3	nuked	49716																								
DOS04911	Adventure Construction Set	AdvCons			openglnb			mapper.map					svga_s3		64							1200																																																
DOS00718	Advanced DOS Quiz	AdvDQ			openglnb			mapper.map					svga_s3		64																																																							
DOS00717	ADS: Advanced Destroyer Simulator	ADVDSim			openglnb			mapper.map					svga_s3		64																																																							
DOS00726	Adventures in Math	Adventur			openglnb			mapper.map					svga_s3		64																																																							
DOS00740	Ad Verbum	adverbum			openglnb			mapper.map					svga_s3		64								500						2048	10																	true															true				none				
DOS00121	Adventure Game Toolkit	AdvGTK			openglnb			mapper.map					svga_s3																																																									
DOS00722	Adventure in Humongous Cave	advhcave			openglnb			mapper.map					svga_s3		64																																																							
DOS00292	The Adventures of Lance	AdvLance			openglnb			mapper.map					svga_s3		32																																																							
DOS06038	Adventureland	advland			openglnb			mapper.map					svga_s3		64								500						2048	10																	true															true				none				
DOS07278	Adventure Math	AdvMath			openglnb			mapper.map					svga_s3																																																									
DOS00122	Adventure in the Magic Land	AdvML			openglnb			mapper.map					svga_s3																																																									
DOS00299	Advanced NetWars	ADVNetW			openglnb			mapper.map					svga_s3		64							max																																																
DOS15965	The Adventures of Nikko	AdvNikko			openglnb			mapper.map					svga_s3		63							12000																																																
DOS00734	The Adventures of Robin Hood	advrobin			openglnb			mapper.map					svga_s3		64								500						2048	10																	true															true				none				
DOS00300	Advanced Strategic Command	AdvSTCO			openglnb			mapper.map					svga_s3		64							max																																																
DOS00736	The Adventures of Tintin: Prisoners of the Sun	AdvTin			openglnb			mapper.map					svga_s3																																																									
DOS00724	The Adventure of Tipi	AdvTipi			openglnb			mapper.map					svga_s3									15000																																																
DOS00301	Advanced Thinking Skills	AdvTS			openglnb			mapper.map					svga_s3		64																																																							
DOS00016	AdventureWriter	AdvWrite			openglnb			mapper.map					svga_s3																																																									
DOS00302	Advanced Xoru	advxoru			openglnb			mapper.map					svga_s3		64								500						2048	10																	true															true				none				
DOS00739	Adventure XT	advxt			openglnb			mapper.map					svga_s3																																																									
DOS00741	AEGIS: Guardian of the Fleet	AEGISGua			openglnb			mapper.map					svga_s3		64							max																																																
DOS06036	Alter Ego	aego			openglnb			mapper.map					cga	auto								600						48000				auto																				false		discrete																
DOS06498	Aeromathics	aeromath			openglnb			mapper.map					svga_s3		8							300																																																
