Identification FileName	Size	CRC32	eXoID	ZIP	Boot	Image	StartingExe	StartingExeSize	StartingExeCRC	IDFileFolder	Rowstart	Rowlines	eXoDOS entry?	Same ID, Name and Size	Unique File
TENNIS.EXE	165234	E9E34F9A	DOS02192	International Tennis Open (1994).zip						IntTennO\					1
INTERPHS.EXE	106293	3249E75E	DOS02193	Interphase (1989).zip			INTERPHS.EXE	106293	3249E75E	Interpha\					1
JAZZ.EXE	239872	6C91A6EC	DOS02196	Jazz Jackrabbit - Holiday Hare 1994 (1994).zip						JazzJ94\					1
JAZZ.EXE	239616	AC6EA9B5	DOS02197	Jazz Jackrabbit - Holiday Hare 1995 (1995).zip						JazzJ95\					1
menu.exe	77232	555B92E6	DOS02198	Jeopardy! (1987).zip						jeopardy\					1
JPD.EXE	285139	FD0CA224	DOS02199	Jeopardy! New Sports Edition (1988).zip			run.bat	480	ED36E5B3	jeapnse\					1
JESUSMUP.EXE	185008	36D9C433	DOS02200	Jesus Matchup (1994).zip						jesusmu\					1
jesus.exe	114328	C86CB65C	DOS02201	Jesus of Nazareth (2005).zip						jesonaz\					1
JET.COM	416	425E7077	DOS02202	Jet (1985).zip						Jet\					1
JET.EXE	101189	68599639	DOS02203	Jet 2.0 (1987).zip						Jet20\					1
FB.EXE	17230	8FD22D87	DOS02204	JetFighter Full Burn (1998).zip			run.bat	441	F84C56C3	JFightFB\					1
MENU.EXE	23119	26FDE89F	DOS02205	Legacy of the Ancients (1989).zip			LEGACY.BAT	4	7D053A93	legaanci\					1
LEGSHIP.EXE	483824	5F7D2E01	DOS02206	Legacy - Realm of Terror (1993).zip			RUN.BAT	524	0BEEE2FC	legacy\					1
GRAPHX.EXE	146653	8C7C0625	DOS02207	Legend of Djel (1987).zip			DJEL.BAT	24	BB121692	djel\					1
LOF.EXE	315152	B0057A6C	DOS02208	Legend of Faerghail (1990).zip			START.BAT	129	72CAFB63	legfaer\					1
HOFCD.EXE	199284	6ED635B7	DOS02209	Legend of Kyrandia Book 2 - The Hand of Fate (1993).zip			run.bat	712	27CDDFC1	kyra2\hofcd\					1
MAIN.EXE	321920	1DAD6FA8	DOS02210	Legend of Kyrandia Book 3 - Malcolm's Revenge (1994).zip						kyra3\malcolm\					1
MAIN.EXE	281408	EC39A23E	DOS02211	Legend of Kyrandia Book 1 (1992).zip			run.bat	476	FF04D57E	kyra1\kyracd\					1
FIRE.EXE	50228	8A12A5E4	DOS02213	Fire and Forget (1988).zip						FireandF\					1
FB.EXE	321535	29874C51	DOS02214	Fire Brigade - The Battle for Kiev 1943 (1989).zip						firebrig\					1
ff.com	29952	F2D9D081	DOS02215	Fire Fighter (1985).zip						firefigh\					1
FF2EGA.EXE	115712	A489C826	DOS02216	Fire & Forget II (1990).zip			FF.BAT	250	044A7D28	FireForg\					1
SIERRA.EXE	14759	68AB1329	DOS02218	Fire Hawk - Thexder - The Second Contact (1990).zip			run.bat	1864	558C5B69	FireHawk\sierra\THEX2\					1
FIRE.EXE	1021763	3888EBC8	DOS02219	Fire & Ice (1993).zip			run.bat	555	2F5197BA	FireIce\					1
GAME.EXE	162864	105CD96E	DOS02220	Fire King (1990).zip			FK.BAT	96	9C759269	fireking\					1
